Donor Type,Donor Age,Donor State of Residence,All Donors - All History of Diabetes,All Donors - NA before 4/1/1994,All Donors - NO,All Donors - UNKNOWN,"All Donors - YES, >10 YEARS","All Donors - YES, 0-5 YEARS","All Donors - YES, 6-10 YEARS","All Donors - YES, UNKNOWN DURATION",Kidney - All History of Diabetes,Kidney - NA before 4/1/1994,Kidney - NO,Kidney - UNKNOWN,"Kidney - YES, >10 YEARS","Kidney - YES, 0-5 YEARS","Kidney - YES, 6-10 YEARS","Kidney - YES, UNKNOWN DURATION",Liver - All History of Diabetes,Liver - NA before 4/1/1994,Liver - NO,Liver - UNKNOWN,"Liver - YES, >10 YEARS","Liver - YES, 0-5 YEARS","Liver - YES, 6-10 YEARS","Liver - YES, UNKNOWN DURATION",Heart - All History of Diabetes,Heart - NA before 4/1/1994,Heart - NO,Heart - UNKNOWN,"Heart - YES, >10 YEARS","Heart - YES, 0-5 YEARS","Heart - YES, 6-10 YEARS","Heart - YES, UNKNOWN DURATION",Pancreas - All History of Diabetes,Pancreas - NA before 4/1/1994,Pancreas - NO,Pancreas - UNKNOWN,"Pancreas - YES, >10 YEARS","Pancreas - YES, 0-5 YEARS","Pancreas - YES, 6-10 YEARS","Pancreas - YES, UNKNOWN DURATION",Lung - All History of Diabetes,Lung - NA before 4/1/1994,Lung - NO,Lung - UNKNOWN,"Lung - YES, >10 YEARS","Lung - YES, 0-5 YEARS","Lung - YES, 6-10 YEARS","Lung - YES, UNKNOWN DURATION",Intestine - All History of Diabetes,Intestine - NA before 4/1/1994,Intestine - NO,Intestine - UNKNOWN,"Intestine - YES, >10 YEARS","Intestine - YES, 0-5 YEARS","Intestine - YES, 6-10 YEARS","Intestine - YES, UNKNOWN DURATION"
,,Vermont,398,69,313,0,5,3,5,3,381,68,299,0,4,3,5,2,316,43,261,0,4,1,5,2,138,27,111,0,0,0,0,0,85,8,77,0,0,0,0,0,61,6,55,0,0,0,0,0,3,0,3,0,0,0,0,0
,,Virginia,4974,645,3805,39,154,168,98,65,4664,620,3610,36,103,156,85,54,4058,433,3192,36,133,127,85,52,1761,348,1360,10,10,22,6,5,915,96,811,6,0,1,0,1,912,57,789,9,16,16,13,12,75,0,74,0,0,1,0,0
,,Washington,3480,401,2872,25,49,60,36,37,3325,375,2768,24,37,55,34,32,2738,284,2300,17,43,43,24,27,1214,209,987,8,4,5,1,0,723,85,634,3,0,0,0,1,595,39,534,4,5,5,3,5,26,0,26,0,0,0,0,0
,,West Virginia,1603,203,1210,6,57,70,41,16,1483,199,1133,6,36,59,35,15,1367,140,1062,5,55,58,36,11,495,98,389,1,0,5,2,0,375,51,322,1,0,1,0,0,269,21,229,0,8,6,3,2,42,4,38,0,0,0,0,0
,,Wisconsin,5163,690,4022,18,124,167,76,66,4813,652,3804,18,82,151,53,53,4138,475,3337,13,97,115,57,44,1715,319,1347,5,13,23,3,5,1890,293,1588,4,1,3,0,1,857,47,771,0,12,16,7,4,42,1,41,0,0,0,0,0
,,Wyoming,419,61,343,1,4,6,3,1,396,52,331,1,3,5,3,1,346,43,290,0,4,5,3,1,184,38,145,0,0,1,0,0,112,21,91,0,0,0,0,0,73,7,65,0,0,1,0,0,1,0,1,0,0,0,0,0
,< 1 Year,All Donor States of Residence,3384,613,2760,7,0,4,0,0,1855,193,1658,4,0,0,0,0,2339,476,1857,5,0,1,0,0,2336,378,1947,7,0,4,0,0,426,16,410,0,0,0,0,0,156,14,140,2,0,0,0,0,682,13,666,2,0,1,0,0
,,Alabama,60,13,47,0,0,0,0,0,32,3,29,0,0,0,0,0,34,8,26,0,0,0,0,0,40,8,32,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,7,0,0,0,0,0
,,Alaska,8,1,7,0,0,0,0,0,7,0,7,0,0,0,0,0,6,1,5,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
,,Arizona,52,6,46,0,0,0,0,0,39,3,36,0,0,0,0,0,32,6,26,0,0,0,0,0,33,3,30,0,0,0,0,0,3,1,2,0,0,0,0,0,4,1,3,0,0,0,0,0,4,0,4,0,0,0,0,0
