Donor Type,Donor Age,Donor State of Residence,All Donors - All ABO,All Donors - O,All Donors - A,All Donors - B,All Donors - AB,All Donors - Unknown,Kidney - All ABO,Kidney - O,Kidney - A,Kidney - B,Kidney - AB,Kidney - Unknown,Liver - All ABO,Liver - O,Liver - A,Liver - B,Liver - AB,Liver - Unknown,Heart - All ABO,Heart - O,Heart - A,Heart - B,Heart - AB,Heart - Unknown,Pancreas - All ABO,Pancreas - O,Pancreas - A,Pancreas - B,Pancreas - AB,Pancreas - Unknown,Lung - All ABO,Lung - O,Lung - A,Lung - B,Lung - AB,Lung - Unknown,Intestine - All ABO,Intestine - O,Intestine - A,Intestine - B,Intestine - AB,Intestine - Unknown
,,Minnesota,2006,1076,728,154,44,4,1935,1044,701,144,42,4,687,288,316,64,19,0,142,71,59,8,4,0,169,89,69,9,2,0,102,43,45,10,4,0,9,5,2,1,1,0
,,Mississippi,658,348,237,55,18,0,613,330,217,49,17,0,377,181,154,31,11,0,41,24,13,4,0,0,10,3,6,1,0,0,38,19,12,3,4,0,0,0,0,0,0,0
,,Missouri,1796,903,672,167,54,0,1635,829,608,150,48,0,1044,494,416,99,35,0,106,56,40,10,0,0,65,36,22,4,3,0,173,86,63,22,2,0,1,0,1,0,0,0
,,Montana,279,147,105,20,7,0,274,147,102,18,7,0,102,39,51,6,6,0,20,10,9,1,0,0,8,4,4,0,0,0,14,8,6,0,0,0,0,0,0,0,0,0
,,Nebraska,589,281,241,52,14,1,563,266,233,50,13,1,250,110,108,23,9,0,28,14,12,2,0,0,35,18,16,1,0,0,35,18,12,3,2,0,0,0,0,0,0,0
,,Nevada,741,405,245,70,21,0,683,363,232,67,21,0,419,229,140,36,14,0,58,32,21,5,0,0,9,6,3,0,0,0,49,25,16,5,3,0,0,0,0,0,0,0
,,New Hampshire,480,265,157,50,8,0,455,253,149,46,7,0,162,89,45,25,3,0,29,17,7,5,0,0,12,6,3,3,0,0,28,14,8,5,1,0,0,0,0,0,0,0
,,New Jersey,2994,1540,999,364,91,0,2834,1461,944,343,86,0,1204,549,445,163,47,0,169,100,56,12,1,0,83,38,24,19,2,0,131,62,48,18,3,0,0,0,0,0,0,0
,,New Mexico,482,284,155,33,10,0,455,268,147,30,10,0,205,109,75,13,8,0,27,12,13,1,1,0,8,6,1,1,0,0,15,7,8,0,0,0,1,0,1,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,New York,5651,3050,1806,636,159,0,5183,2792,1668,575,148,0,2355,1140,811,316,88,0,307,164,101,36,6,0,104,60,28,13,3,0,189,104,57,26,2,0,1,0,1,0,0,0
,,North Carolina,2285,1226,770,226,63,0,2147,1166,714,210,57,0,1060,499,410,115,36,0,237,119,95,19,4,0,57,28,22,5,2,0,223,123,68,26,6,0,1,1,0,0,0,0
,,North Dakota,224,112,84,19,9,0,214,105,82,18,9,0,82,33,37,9,3,0,11,7,3,1,0,0,16,6,8,2,0,0,12,4,6,2,0,0,1,0,1,0,0,0
,,Ohio,3670,1944,1304,336,86,0,3464,1841,1224,318,81,0,1682,789,655,189,49,0,222,108,89,24,1,0,145,70,60,14,1,0,251,130,93,25,3,0,2,0,1,1,0,0
,,Oklahoma,968,509,334,108,17,0,917,486,314,101,16,0,480,224,182,63,11,0,65,32,25,7,1,0,12,4,6,2,0,0,44,19,17,7,1,0,0,0,0,0,0,0
,,Oregon,918,492,340,67,19,0,895,477,334,66,18,0,377,184,148,33,12,0,64,36,22,5,1,0,23,13,8,2,0,0,34,16,15,3,0,0,1,0,0,0,1,0
,,Pennsylvania,5027,2509,1824,543,150,1,4675,2330,1694,512,138,1,2706,1251,1033,331,91,0,458,244,165,40,9,0,231,111,101,19,0,0,394,196,147,42,9,0,3,1,1,1,0,0
,,Puerto Rico,724,419,220,70,15,0,631,379,180,58,14,0,447,243,150,42,12,0,3,3,0,0,0,0,1,1,0,0,0,0,44,21,16,6,1,0,0,0,0,0,0,0
,,Rhode Island,310,187,88,23,12,0,299,183,83,22,11,0,90,46,31,6,7,0,24,16,6,2,0,0,9,6,2,1,0,0,13,7,4,0,2,0,0,0,0,0,0,0
,,South Carolina,1201,638,418,119,26,0,1133,609,392,108,24,0,743,364,273,92,14,0,101,51,39,11,0,0,14,6,6,1,1,0,116,67,36,11,2,0,0,0,0,0,0,0
,,South Dakota,261,140,98,21,2,0,256,138,95,21,2,0,95,41,44,8,2,0,13,6,7,0,0,0,21,10,10,0,1,0,15,4,11,0,0,0,1,0,1,0,0,0
,,State unassigned,1409,776,419,173,41,0,1347,740,400,170,37,0,446,217,163,44,22,0,78,33,35,7,3,0,39,14,20,2,3,0,63,37,21,5,0,0,1,0,1,0,0,0
,,Tennessee,1667,895,585,150,37,0,1533,819,543,137,34,0,923,464,356,83,20,0,125,66,46,10,3,0,44,20,15,8,1,0,133,66,49,12,6,0,1,0,0,1,0,0
,,Texas,5834,3355,1840,504,132,3,5357,3089,1694,454,117,3,2808,1459,984,288,77,0,304,186,90,22,6,0,61,34,22,3,2,0,433,231,149,49,4,0,0,0,0,0,0,0
,,Utah,606,306,254,35,11,0,568,293,232,33,10,0,217,93,99,17,8,0,46,24,21,1,0,0,8,5,3,0,0,0,21,12,9,0,0,0,0,0,0,0,0,0
,,Vermont,182,100,69,12,1,0,173,97,64,11,1,0,59,24,34,1,0,0,14,5,9,0,0,0,2,2,0,0,0,0,10,6,4,0,0,0,0,0,0,0,0,0
,,Virginia,2353,1311,754,239,49,0,2241,1250,714,229,48,0,961,478,345,112,26,0,147,83,45,18,1,0,39,24,10,4,1,0,161,71,62,25,3,0,1,0,1,0,0,0
,,Washington,1568,871,532,136,29,0,1530,845,523,133,29,0,579,283,230,55,11,0,106,53,42,9,2,0,35,17,17,1,0,0,95,51,36,7,1,0,1,1,0,0,0,0
,,West Virginia,541,299,186,43,13,0,505,276,175,41,13,0,310,156,114,30,10,0,28,12,12,2,2,0,35,22,9,2,2,0,39,20,15,3,1,0,2,1,1,0,0,0
,,Wisconsin,2329,1164,847,237,80,1,2221,1112,812,220,76,1,1012,444,408,122,38,0,161,78,62,19,2,0,159,73,67,17,2,0,146,60,62,19,5,0,1,0,1,0,0,0
,,Wyoming,149,69,64,15,1,0,142,67,59,15,1,0,74,33,33,8,0,0,12,5,4,3,0,0,9,5,2,2,0,0,12,4,6,2,0,0,0,0,0,0,0,0
,65 +,All Donor States of Residence,18954,9569,6905,1978,501,1,14897,7506,5404,1563,424,0,13647,6752,5106,1439,349,1,126,69,43,13,1,0,106,53,37,13,3,0,461,238,165,51,7,0,6,2,3,0,1,0
,,Alabama,252,138,90,20,4,0,214,119,76,16,3,0,181,103,60,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0
,,Alaska,21,11,7,3,0,0,18,10,6,2,0,0,13,6,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Arizona,280,154,98,22,6,0,246,132,87,21,6,0,187,106,66,12,3,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
,,Arkansas,104,51,44,9,0,0,82,41,36,5,0,0,87,41,38,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0
,,California,1669,878,564,184,43,0,1476,775,498,162,41,0,1055,538,368,122,27,0,20,7,8,5,0,0,14,5,6,2,1,0,67,30,24,12,1,0,0,0,0,0,0,0
,,Colorado,164,80,64,15,5,0,141,67,56,13,5,0,102,51,38,10,3,0,3,0,3,0,0,0,4,0,3,1,0,0,5,3,2,0,0,0,0,0,0,0,0,0
,,Connecticut,187,96,66,18,7,0,165,80,61,17,7,0,110,59,35,12,4,0,6,2,3,1,0,0,0,0,0,0,0,0,7,2,4,1,0,0,0,0,0,0,0,0
,,Delaware,125,68,43,13,1,0,101,55,34,11,1,0,100,57,31,12,0,0,1,1,0,0,0,0,1,1,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0
,,District of Columbia,55,32,11,12,0,0,43,29,9,5,0,0,41,22,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0
,,Florida,1407,713,522,142,30,0,971,478,368,100,25,0,1071,534,411,107,19,0,3,0,2,1,0,0,3,2,0,1,0,0,21,13,1,6,1,0,1,0,0,0,1,0
,,Georgia,520,261,195,51,13,0,352,168,138,37,9,0,417,204,157,44,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,5,1,0,0,0,0,0,0,0,0
,,Hawaii,39,19,10,8,2,0,39,19,10,8,2,0,9,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Idaho,28,14,11,3,0,0,25,13,9,3,0,0,14,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Illinois,897,422,350,102,23,0,654,306,255,74,19,0,649,301,259,73,16,0,13,7,5,1,0,0,14,8,5,1,0,0,30,10,14,6,0,0,3,2,1,0,0,0
,,Indiana,239,110,96,24,9,0,205,93,85,20,7,0,182,76,78,19,9,0,0,0,0,0,0,0,1,0,0,1,0,0,10,6,4,0,0,0,0,0,0,0,0,0
,,Iowa,143,72,57,13,1,0,128,64,51,12,1,0,89,44,34,10,1,0,2,1,0,1,0,0,2,1,0,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0
,,Kansas,184,94,66,18,6,0,126,65,42,14,5,0,160,83,58,14,5,0,0,0,0,0,0,0,1,0,1,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0
,,Kentucky,121,74,35,10,2,0,106,65,32,8,1,0,86,52,24,8,2,0,2,1,1,0,0,0,3,2,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
,,Louisiana,184,96,57,24,7,0,124,67,33,19,5,0,151,77,51,17,6,0,0,0,0,0,0,0,2,2,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Maine,95,53,33,4,5,0,86,48,29,4,5,0,51,33,14,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,Maryland,537,262,186,74,15,0,466,229,162,62,13,0,356,169,125,54,8,0,0,0,0,0,0,0,1,0,0,1,0,0,16,7,6,3,0,0,0,0,0,0,0,0
,,Massachusetts,409,220,139,39,11,0,362,202,117,33,10,0,263,134,98,25,6,0,1,1,0,0,0,0,1,1,0,0,0,0,13,10,3,0,0,0,0,0,0,0,0,0
,,Michigan,549,265,217,50,17,0,459,225,177,42,15,0,344,166,133,35,10,0,3,2,0,1,0,0,1,1,0,0,0,0,34,20,10,3,1,0,0,0,0,0,0,0
,,Minnesota,386,188,153,38,7,0,325,161,124,33,7,0,242,112,100,28,2,0,4,2,2,0,0,0,7,2,4,1,0,0,5,3,1,1,0,0,0,0,0,0,0,0
,,Mississippi,139,74,51,12,2,0,108,59,37,10,2,0,106,55,43,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Missouri,460,225,179,45,11,0,293,140,113,31,9,0,393,186,160,40,7,0,1,1,0,0,0,0,5,4,1,0,0,0,15,7,5,3,0,0,0,0,0,0,0,0
,,Montana,31,14,14,2,1,0,26,10,14,1,1,0,16,6,8,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
,,Nebraska,83,35,35,12,1,0,69,30,30,8,1,0,64,28,25,10,1,0,1,0,1,0,0,0,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
,,Nevada,162,82,60,18,2,0,132,69,49,12,2,0,132,65,49,17,1,0,1,1,0,0,0,0,1,1,0,0,0,0,8,4,4,0,0,0,0,0,0,0,0,0
,,New Hampshire,80,37,36,4,3,0,72,34,31,4,3,0,44,18,22,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
,,New Jersey,633,312,209,89,23,0,559,275,179,83,22,0,423,201,148,57,17,0,3,1,1,1,0,0,2,1,1,0,0,0,7,5,2,0,0,0,0,0,0,0,0,0
,,New Mexico,91,44,33,13,1,0,77,37,29,10,1,0,62,26,24,11,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
,,New York,1748,909,595,198,46,0,1109,580,372,128,29,0,1362,692,483,152,35,0,4,3,1,0,0,0,6,2,4,0,0,0,16,8,6,2,0,0,0,0,0,0,0,0
,,North Carolina,477,237,182,41,17,0,384,188,143,38,15,0,330,165,130,24,11,0,7,4,3,0,0,0,3,2,1,0,0,0,24,12,10,1,1,0,0,0,0,0,0,0
,,North Dakota,44,21,17,6,0,0,35,16,14,5,0,0,28,15,8,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Ohio,627,289,259,56,22,1,538,250,224,47,17,0,433,193,181,41,17,1,10,7,3,0,0,0,1,1,0,0,0,0,21,12,7,2,0,0,0,0,0,0,0,0
,,Oklahoma,170,84,69,13,4,0,142,68,58,13,3,0,124,59,55,8,2,0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,2,0,1,0,0,0,0,0,0,0
,,Oregon,122,58,51,11,2,0,119,57,49,11,2,0,67,26,30,9,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
,,Pennsylvania,1611,772,616,178,45,0,1327,633,500,153,41,0,1289,597,508,146,38,0,12,8,3,0,1,0,11,5,4,1,1,0,32,14,13,3,2,0,0,0,0,0,0,0
,,Puerto Rico,241,149,72,17,3,0,155,95,45,12,3,0,202,129,59,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
,,Rhode Island,44,25,15,4,0,0,38,20,14,4,0,0,27,16,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,,South Carolina,294,165,105,22,2,0,244,142,86,14,2,0,244,130,91,21,2,0,3,3,0,0,0,0,1,1,0,0,0,0,10,6,4,0,0,0,0,0,0,0,0,0
,,South Dakota,55,28,18,5,4,0,49,24,17,4,4,0,42,21,14,3,4,0,1,1,0,0,0,0,3,1,1,0,1,0,3,2,1,0,0,0,1,0,1,0,0,0
,,State unassigned,261,126,82,42,11,0,227,111,66,40,10,0,147,70,52,19,6,0,2,2,0,0,0,0,1,1,0,0,0,0,6,4,1,1,0,0,0,0,0,0,0,0
,,Tennessee,368,182,149,26,11,0,304,148,128,17,11,0,298,148,121,21,8,0,3,2,1,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
,,Texas,1181,618,422,110,31,0,739,398,256,65,20,0,880,453,326,78,23,0,7,3,3,1,0,0,2,2,0,0,0,0,16,10,6,0,0,0,0,0,0,0,0,0
,,Utah,65,31,26,7,1,0,55,28,21,5,1,0,48,21,21,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Vermont,42,21,17,3,1,0,38,18,16,3,1,0,34,17,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Virginia,479,244,158,64,13,0,417,209,143,54,11,0,335,165,118,41,11,0,4,3,1,0,0,0,1,0,0,1,0,0,11,5,6,0,0,0,1,0,1,0,0,0
,,Washington,220,114,84,17,5,0,199,105,76,13,5,0,120,59,46,12,3,0,0,0,0,0,0,0,1,0,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
,,West Virginia,151,81,51,14,5,0,122,65,42,11,4,0,120,65,42,10,3,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0
,,Wisconsin,457,208,179,51,19,0,385,175,150,44,16,0,300,139,117,32,12,0,6,6,0,0,0,0,2,1,0,1,0,0,9,3,5,1,0,0,0,0,0,0,0,0
,,Wyoming,23,13,7,2,1,0,21,11,7,2,1,0,17,10,4,2,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Unknown,All Donor States of Residence,25,16,6,1,0,2,11,6,3,0,0,2,14,10,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Alabama,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,California,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Maryland,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Missouri,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,New York,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,North Carolina,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,State unassigned,12,7,3,0,0,2,9,5,2,0,0,2,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Texas,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Virginia,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deceased Donor,All Ages,All Donor States of Residence,222013,106192,82690,25642,7474,15,203365,96824,76063,23524,6944,10,179950,86841,67068,20526,5509,6,78066,39999,28248,8077,1740,2,46502,23331,17282,4966,922,1,39371,20004,14223,4251,893,0,3386,1785,1198,329,74,0
,,Alabama,3750,1840,1360,440,110,0,3452,1694,1252,402,104,0,3091,1511,1144,354,82,0,1191,581,450,138,22,0,602,314,228,48,12,0,569,290,207,57,15,0,36,22,11,2,1,0
,,Alaska,622,273,262,63,24,0,604,265,257,58,24,0,490,216,209,51,14,0,209,98,92,16,3,0,150,72,67,10,1,0,128,54,58,13,3,0,1,1,0,0,0,0
,,Arizona,3771,1875,1404,379,112,1,3593,1784,1336,365,107,1,3106,1575,1148,299,84,0,1339,710,485,128,16,0,687,357,244,75,11,0,729,418,246,56,9,0,45,26,14,4,1,0
,,Arkansas,2056,987,775,221,73,0,1905,913,722,204,66,0,1741,826,667,191,57,0,811,396,315,78,22,0,418,219,156,37,6,0,366,171,143,43,9,0,56,33,20,3,0,0
,,California,22206,11082,7810,2596,717,1,20749,10321,7308,2436,683,1,18029,9051,6316,2129,533,0,8556,4641,2894,863,158,0,4221,2225,1451,466,79,0,4350,2332,1436,486,96,0,156,93,46,14,3,0
,,Colorado,2937,1361,1149,336,91,0,2753,1267,1079,320,87,0,2404,1127,926,285,66,0,1210,613,436,134,27,0,756,374,289,80,13,0,489,234,189,54,12,0,41,17,21,3,0,0
,,Connecticut,1966,902,745,247,72,0,1846,845,700,233,68,0,1546,719,581,197,49,0,725,353,270,85,17,0,353,181,119,49,4,0,271,136,97,32,6,0,21,13,8,0,0,0
,,Delaware,1027,486,378,133,30,0,940,446,345,122,27,0,831,393,301,115,22,0,328,158,119,46,5,0,203,99,74,27,3,0,199,94,75,27,3,0,13,7,5,0,1,0
,,District of Columbia,560,296,139,104,21,0,502,272,122,88,20,0,455,238,115,85,17,0,185,97,47,32,9,0,156,94,34,23,5,0,111,57,28,23,3,0,8,7,0,1,0,0
,,Florida,14567,7005,5438,1657,466,1,13009,6227,4874,1471,436,1,11843,5790,4412,1300,340,1,4587,2396,1611,477,102,1,2680,1398,932,291,58,1,2389,1273,839,223,54,0,388,202,126,45,15,0
,,Georgia,6486,3163,2326,787,210,0,5610,2704,2028,689,189,0,5469,2701,1939,661,168,0,2366,1222,832,246,66,0,979,518,338,93,30,0,1168,578,429,131,30,0,117,61,41,15,0,0
,,Hawaii,791,349,292,111,39,0,762,335,283,105,39,0,576,246,216,91,23,0,69,38,21,7,3,0,109,44,43,20,2,0,32,18,10,3,1,0,1,1,0,0,0,0
,,Idaho,930,415,404,81,30,0,883,390,386,78,29,0,753,342,325,64,22,0,372,190,157,18,7,0,201,100,82,16,3,0,148,76,59,10,3,0,15,6,5,4,0,0
,,Illinois,9630,4582,3464,1240,342,2,8705,4142,3122,1119,320,2,7468,3630,2666,947,224,1,3052,1595,1030,361,66,0,2651,1344,937,317,53,0,1846,919,639,234,54,0,139,70,51,14,4,0
,,Indiana,4736,2185,1923,479,148,1,4386,2011,1798,444,132,1,4062,1876,1666,400,120,0,1950,974,769,161,46,0,1217,628,468,107,14,0,1002,523,380,85,14,0,201,106,76,18,1,0
,,Iowa,1949,901,794,191,63,0,1847,851,750,188,58,0,1623,761,661,155,46,0,719,370,262,70,17,0,559,279,213,59,8,0,348,171,136,34,7,0,38,22,15,1,0,0
,,Kansas,2568,1177,1036,270,85,0,2378,1078,972,248,80,0,2111,963,863,228,57,0,937,444,388,87,18,0,658,313,280,58,7,0,496,236,191,52,17,0,51,27,17,6,1,0
,,Kentucky,2927,1344,1200,295,88,0,2734,1245,1134,273,82,0,2446,1142,995,243,66,0,1091,535,425,115,16,0,699,329,284,70,16,0,541,236,220,71,14,0,47,26,17,4,0,0
,,Louisiana,4044,1988,1435,498,123,0,3573,1740,1285,439,109,0,3613,1785,1302,422,104,0,1498,785,517,173,23,0,984,502,344,128,10,0,820,415,289,102,14,0,75,49,17,8,1,0
,,Maine,934,434,377,86,37,0,888,410,359,85,34,0,718,335,290,70,23,0,336,169,128,32,7,0,207,94,92,19,2,0,126,61,50,14,1,0,17,10,5,2,0,0
,,Maryland,4570,2114,1655,628,173,0,4184,1922,1535,571,156,0,3787,1749,1381,519,138,0,1436,698,527,175,36,0,1161,559,435,144,23,0,1004,464,394,125,21,0,54,23,25,4,2,0
,,Massachusetts,3717,1779,1403,406,129,0,3476,1680,1304,373,119,0,2761,1333,1041,295,92,0,1242,624,484,111,23,0,614,329,217,54,14,0,502,261,185,45,11,0,33,19,13,1,0,0
,,Michigan,7804,3542,2968,970,324,0,7232,3263,2765,899,305,0,5822,2670,2222,733,197,0,2548,1210,953,303,82,0,1425,669,562,166,28,0,1548,756,562,180,50,0,153,64,71,17,1,0
,,Minnesota,3396,1465,1445,362,124,0,3185,1371,1353,342,119,0,2866,1248,1218,309,91,0,1304,604,539,117,44,0,1383,638,581,134,30,0,686,304,301,64,17,0,86,42,31,9,4,0
,,Mississippi,2122,1036,770,259,57,0,1955,950,709,242,54,0,1694,825,616,208,45,0,720,375,237,95,13,0,395,200,129,58,8,0,313,159,101,43,10,0,63,40,16,5,2,0
,,Missouri,5445,2566,2114,580,185,0,4797,2243,1868,516,170,0,4569,2152,1806,476,135,0,1863,960,693,166,44,0,1127,542,434,117,34,0,1214,610,457,119,28,0,102,53,37,10,2,0
,,Montana,676,305,288,57,26,0,643,288,279,52,24,0,554,244,241,48,21,0,294,145,119,23,7,0,171,79,76,13,3,0,103,52,44,5,2,0,11,7,4,0,0,0
,,Nebraska,1283,549,562,128,44,0,1200,511,529,119,41,0,1099,474,475,109,41,0,443,204,188,41,10,0,422,190,180,41,11,0,225,102,91,23,9,0,35,19,14,2,0,0
,,Nevada,1992,1001,697,220,74,0,1836,918,642,203,73,0,1648,852,567,173,56,0,706,388,234,75,9,0,310,174,110,20,6,0,336,176,119,32,9,0,21,14,5,2,0,0
,,New Hampshire,793,348,334,83,28,0,745,330,312,75,28,0,605,264,252,70,19,0,270,105,128,28,9,0,157,63,77,13,4,0,135,50,70,14,1,0,3,2,1,0,0,0
,,New Jersey,5640,2658,2011,771,200,0,5231,2463,1857,719,192,0,4392,2100,1548,595,149,0,1803,936,617,220,30,0,1096,544,377,150,25,0,780,398,272,95,15,0,43,21,15,4,3,0
,,New Mexico,1459,755,522,141,41,0,1363,696,495,133,39,0,1152,586,435,101,30,0,543,296,197,39,11,0,201,113,76,11,1,0,194,108,77,8,1,0,18,9,8,1,0,0
,,New York,11042,5356,3843,1421,422,0,9458,4535,3339,1210,374,0,8959,4387,3111,1139,322,0,3344,1749,1114,389,92,0,1761,899,594,227,41,0,1111,587,363,132,29,0,140,78,42,19,1,0
,,North Carolina,6264,3045,2298,735,186,0,5749,2787,2101,688,173,0,4985,2438,1831,571,145,0,2437,1248,878,261,50,0,1520,764,562,164,30,0,1319,666,457,166,30,0,127,73,44,9,1,0
,,North Dakota,464,199,198,52,15,0,440,186,190,50,14,0,380,162,162,44,12,0,171,79,72,18,2,0,181,86,78,14,3,0,76,34,28,13,1,0,13,7,4,1,1,0
,,Ohio,8889,4056,3517,991,323,2,8211,3717,3274,920,300,0,7199,3328,2845,796,229,1,2999,1452,1164,297,85,1,2374,1116,949,258,51,0,1666,833,650,148,35,0,137,71,48,16,2,0
,,Oklahoma,3061,1485,1183,310,83,0,2836,1369,1101,291,75,0,2400,1170,921,243,66,0,1094,566,409,97,22,0,392,204,146,35,7,0,451,235,167,43,6,0,31,17,12,2,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oregon,2031,922,843,215,50,1,1953,889,812,205,46,1,1667,768,692,165,42,0,761,377,304,71,9,0,414,200,165,43,6,0,264,119,118,26,1,0,10,3,2,3,2,0
,,Pennsylvania,12791,5841,4923,1565,461,1,11770,5353,4536,1455,426,0,10447,4808,4006,1283,349,1,4008,1950,1496,460,102,0,2689,1265,1049,320,55,0,2259,1102,834,268,55,0,177,83,78,13,3,0
,,Puerto Rico,1879,1034,638,167,40,0,1635,909,546,144,36,0,1526,841,528,126,31,0,355,224,113,16,2,0,244,142,80,21,1,0,245,130,89,22,4,0,29,13,13,3,0,0
,,Rhode Island,502,240,188,55,19,0,468,220,176,55,17,0,356,174,135,33,14,0,178,96,62,18,2,0,102,46,44,10,2,0,58,28,23,5,2,0,4,0,1,3,0,0
,,South Carolina,3659,1797,1302,450,110,0,3404,1686,1206,411,101,0,3172,1557,1130,394,91,0,1413,717,502,166,28,0,760,413,263,75,9,0,732,375,244,91,22,0,51,24,21,5,1,0
,,South Dakota,557,257,227,50,23,0,530,240,221,46,23,0,487,221,203,43,20,0,202,105,78,15,4,0,232,111,95,19,7,0,124,58,54,10,2,0,16,7,8,0,1,0
,,State unassigned,3170,1598,1067,382,121,2,2945,1474,1000,359,112,0,2310,1212,762,251,83,2,1273,696,408,128,41,0,636,335,218,68,15,0,449,246,152,42,9,0,25,17,7,1,0,0
