Donor Type,Donor Age,Donor State of Residence,All Donors - All ABO,All Donors - O,All Donors - A,All Donors - B,All Donors - AB,All Donors - Unknown,Kidney - All ABO,Kidney - O,Kidney - A,Kidney - B,Kidney - AB,Kidney - Unknown,Liver - All ABO,Liver - O,Liver - A,Liver - B,Liver - AB,Liver - Unknown,Heart - All ABO,Heart - O,Heart - A,Heart - B,Heart - AB,Heart - Unknown,Pancreas - All ABO,Pancreas - O,Pancreas - A,Pancreas - B,Pancreas - AB,Pancreas - Unknown,Lung - All ABO,Lung - O,Lung - A,Lung - B,Lung - AB,Lung - Unknown,Intestine - All ABO,Intestine - O,Intestine - A,Intestine - B,Intestine - AB,Intestine - Unknown
,,Utah,3496,1866,1289,269,72,0,3313,1771,1216,258,68,0,1426,659,597,131,39,0,703,354,286,52,11,0,375,188,153,28,6,0,259,145,87,21,6,0,13,10,3,0,0,0
,,Vermont,798,437,291,62,8,0,746,414,265,59,8,0,350,163,150,31,6,0,138,66,57,14,1,0,85,36,37,12,0,0,62,29,23,10,0,0,3,0,3,0,0,0
,,Virginia,10007,5558,3173,1049,227,0,9398,5206,2982,992,218,0,4343,2138,1586,489,130,0,1762,873,641,203,45,0,916,473,339,81,23,0,922,447,339,115,21,0,78,34,31,9,4,0
,,Washington,6425,3448,2225,613,138,1,6193,3331,2136,590,135,1,2805,1314,1120,291,80,0,1217,599,483,114,21,0,723,348,294,68,13,0,602,312,229,49,12,0,26,15,7,3,1,0
,,West Virginia,2429,1296,875,196,62,0,2228,1176,811,184,57,0,1445,705,564,129,47,0,495,244,193,48,10,0,377,189,148,32,8,0,271,148,96,20,7,0,42,17,20,4,1,0
,,Wisconsin,9144,4653,3305,918,264,4,8686,4421,3133,877,251,4,4235,1876,1737,480,142,0,1715,789,697,179,50,0,1895,859,786,198,52,0,867,385,361,94,27,0,42,21,16,3,2,0
,,Wyoming,686,358,258,58,11,1,647,330,249,57,10,1,360,173,148,31,8,0,184,95,71,15,3,0,112,54,48,9,1,0,75,35,32,5,3,0,1,0,0,1,0,0
,< 1 Year,All Donor States of Residence,3386,1754,1120,423,88,1,1856,942,596,270,48,0,2339,1239,775,283,41,1,2337,1255,759,262,61,0,426,244,138,38,6,0,156,113,35,8,0,0,682,380,232,55,15,0
,,Alabama,60,30,14,15,1,0,32,19,4,9,0,0,34,16,8,9,1,0,40,20,11,9,0,0,6,3,3,0,0,0,1,1,0,0,0,0,7,3,3,0,1,0
,,Alaska,8,4,3,1,0,0,7,4,3,0,0,0,6,3,2,1,0,0,3,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
,,Arizona,52,26,15,11,0,0,39,21,10,8,0,0,32,15,10,7,0,0,33,14,12,7,0,0,3,1,1,1,0,0,4,3,1,0,0,0,4,1,2,1,0,0
,,Arkansas,42,29,9,3,1,0,20,15,4,1,0,0,31,22,6,2,1,0,32,22,7,3,0,0,10,8,1,1,0,0,0,0,0,0,0,0,12,8,3,1,0,0
,,California,334,186,103,39,6,0,202,109,66,24,3,0,216,127,58,27,4,0,241,144,72,22,3,0,19,11,6,2,0,0,12,9,3,0,0,0,34,22,9,3,0,0
,,Colorado,51,29,18,2,2,0,23,13,7,2,1,0,31,17,12,1,1,0,37,22,12,1,2,0,6,4,2,0,0,0,0,0,0,0,0,0,10,5,5,0,0,0
,,Connecticut,23,12,8,3,0,0,18,10,5,3,0,0,18,8,8,2,0,0,16,9,6,1,0,0,2,0,2,0,0,0,1,1,0,0,0,0,3,1,2,0,0,0
,,Delaware,8,5,2,0,1,0,5,3,2,0,0,0,7,4,2,0,1,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
,,District of Columbia,8,6,1,1,0,0,6,5,0,1,0,0,8,6,1,1,0,0,6,4,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
,,Florida,224,107,85,29,3,0,98,40,39,18,1,0,170,87,63,19,1,0,149,73,53,20,3,0,54,31,15,7,1,0,12,10,2,0,0,0,67,37,21,8,1,0
,,Georgia,110,63,36,6,5,0,48,26,13,5,4,0,77,45,23,5,4,0,92,54,30,4,4,0,18,14,4,0,0,0,4,3,1,0,0,0,31,20,11,0,0,0
,,Hawaii,7,4,2,1,0,0,4,3,1,0,0,0,4,3,1,0,0,0,3,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
,,Idaho,20,12,5,3,0,0,12,6,4,2,0,0,13,9,1,3,0,0,13,9,3,1,0,0,3,1,1,1,0,0,1,1,0,0,0,0,5,2,1,2,0,0
,,Illinois,170,92,56,17,5,0,91,52,27,9,3,0,116,66,35,13,2,0,104,57,32,11,4,0,14,7,7,0,0,0,10,10,0,0,0,0,29,16,10,2,1,0
,,Indiana,75,36,26,11,2,0,41,20,11,9,1,0,54,26,20,7,1,0,58,28,20,8,2,0,17,9,5,2,1,0,4,2,2,0,0,0,20,10,6,3,1,0
,,Iowa,30,12,10,6,2,0,17,5,7,4,1,0,23,11,8,3,1,0,22,10,6,4,2,0,6,4,2,0,0,0,1,1,0,0,0,0,10,8,2,0,0,0
,,Kansas,53,28,18,5,2,0,31,17,11,2,1,0,34,15,15,4,0,0,35,15,15,4,1,0,7,5,2,0,0,0,1,1,0,0,0,0,15,10,4,1,0,0
,,Kentucky,50,31,16,3,0,0,27,16,10,1,0,0,45,28,14,3,0,0,40,26,13,1,0,0,8,6,2,0,0,0,0,0,0,0,0,0,14,8,6,0,0,0
,,Louisiana,54,24,19,10,1,0,23,10,8,5,0,0,45,20,16,8,1,0,40,18,13,8,1,0,12,8,2,1,1,0,3,1,1,1,0,0,17,10,5,1,1,0
